Date,Price_INR,Change%_INR,Date_CNY,Price_CNY,Change%_CNY,Date_AUD,Price_AUD,Change%_AUD,Date_EUR,Price_EUR,Change%_EUR
7/31/18,68.46,-0.21%,9/20/18,6.8468,-0.02%,10/8/18,1.4127,-0.37%,8/20/19,0.9018,-0.11%
7/30/18,68.605,0.00%,9/19/18,6.8483,-0.19%,10/5/18,1.418,0.31%,8/19/19,0.9027,0.11%
7/27/18,68.605,-0.08%,9/18/18,6.8616,0.07%,10/4/18,1.4136,0.43%,8/16/19,0.9017,0.14%
7/26/18,68.66,-0.10%,9/17/18,6.857,-0.17%,10/3/18,1.4076,1.19%,8/15/19,0.9004,0.29%
7/25/18,68.73,-0.32%,9/14/18,6.869,0.35%,10/2/18,1.3911,0.50%,8/14/19,0.8978,0.29%
7/24/18,68.948,0.15%,9/13/18,6.8448,-0.23%,10/1/18,1.3842,0.09%,8/13/19,0.8952,0.37%
7/23/18,68.845,0.15%,9/12/18,6.8606,-0.18%,9/28/18,1.383,-0.32%,8/12/19,0.8919,-0.11%
7/20/18,68.74,-0.41%,9/11/18,6.873,0.25%,9/27/18,1.3875,0.71%,8/9/19,0.8929,-0.17%
7/19/18,69.02,0.58%,9/10/18,6.8556,0.17%,9/26/18,1.3777,-0.11%,8/8/19,0.8944,0.16%
7/18/18,68.625,0.28%,9/7/18,6.8438,0.12%,9/25/18,1.3792,0.04%,8/7/19,0.893,0.01%
7/17/18,68.43,-0.18%,9/6/18,6.8355,0.07%,9/24/18,1.3787,0.52%,8/6/19,0.8929,0.02%
7/16/18,68.55,0.07%,9/5/18,6.8305,-0.20%,9/21/18,1.3715,0.00%,8/5/19,0.8927,-0.83%
7/13/18,68.5,-0.03%,9/4/18,6.8442,0.31%,9/20/18,1.3715,-0.37%,8/2/19,0.9002,-0.22%
7/12/18,68.52,-0.31%,9/3/18,6.8228,-0.13%,9/19/18,1.3766,-0.61%,8/1/19,0.9022,-0.08%
7/11/18,68.73,-0.04%,8/31/18,6.8315,-0.19%,9/18/18,1.3851,-0.52%,7/31/19,0.9029,0.73%
7/10/18,68.755,0.14%,8/30/18,6.8445,0.34%,9/17/18,1.3923,-0.41%,7/30/19,0.8964,-0.10%
7/9/18,68.66,-0.21%,8/29/18,6.8213,0.27%,9/14/18,1.3981,0.57%,7/29/19,0.8973,-0.17%
7/6/18,68.805,-0.11%,8/28/18,6.803,-0.18%,9/13/18,1.3902,-0.34%,7/26/19,0.8988,0.19%
7/5/18,68.88,0.28%,8/27/18,6.8156,0.13%,9/12/18,1.3949,-0.62%,7/25/19,0.8971,-0.06%
7/4/18,68.69,0.20%,8/24/18,6.807,-1.03%,9/11/18,1.4036,-0.14%,7/24/19,0.8976,0.11%
7/3/18,68.55,-0.25%,8/23/18,6.8777,0.52%,9/10/18,1.4055,-0.11%,7/23/19,0.8966,0.50%
7/2/18,68.72,0.38%,8/22/18,6.8418,-0.08%,9/7/18,1.4071,1.28%,7/22/19,0.8921,0.11%
6/29/18,68.46,-0.55%,8/21/18,6.8472,-0.15%,9/6/18,1.3893,-0.07%,7/19/19,0.8911,0.48%
6/28/18,68.84,0.29%,8/20/18,6.8578,-0.29%,9/5/18,1.3903,-0.18%,7/18/19,0.8868,-0.47%
6/27/18,68.64,0.39%,8/17/18,6.8775,-0.07%,9/4/18,1.3928,0.47%,7/17/19,0.891,-0.11%
6/26/18,68.37,0.37%,8/16/18,6.8825,-0.75%,9/3/18,1.3863,-0.24%,7/16/19,0.892,0.43%
6/25/18,68.115,0.36%,8/15/18,6.9348,0.74%,8/31/18,1.3897,0.98%,7/15/19,0.8882,0.11%
6/22/18,67.87,-0.11%,8/14/18,6.8842,-0.10%,8/30/18,1.3762,0.61%,7/12/19,0.8872,-0.16%
6/21/18,67.945,-0.17%,8/13/18,6.8913,0.64%,8/29/18,1.3679,0.37%,7/11/19,0.8886,-0.03%
6/20/18,68.06,-0.37%,8/10/18,6.8472,0.38%,8/28/18,1.3628,0.21%,7/10/19,0.8889,-0.37%
6/19/18,68.31,0.40%,8/9/18,6.821,-0.22%,8/27/18,1.36,-0.32%,7/9/19,0.8922,0.04%
6/18/18,68.04,-0.03%,8/8/18,6.8357,0.06%,8/24/18,1.3644,-1.07%,7/8/19,0.8918,0.10%
6/15/18,68.06,0.55%,8/7/18,6.8318,-0.32%,8/23/18,1.3792,1.33%,7/5/19,0.8909,0.54%
6/14/18,67.69,0.07%,8/6/18,6.8535,0.30%,8/22/18,1.3611,0.32%,7/4/19,0.8861,-0.07%
6/13/18,67.645,0.24%,8/3/18,6.8332,-0.14%,8/21/18,1.3567,-0.42%,7/3/19,0.8867,0.07%
6/12/18,67.48,0.01%,8/2/18,6.8428,0.29%,8/20/18,1.3624,-0.35%,7/2/19,0.8861,0.00%
6/11/18,67.47,-0.09%,8/1/18,6.8227,0.15%,8/17/18,1.3672,-0.73%,7/1/19,0.8861,0.74%
6/8/18,67.53,0.16%,7/31/18,6.8127,-0.03%,8/16/18,1.3772,-0.30%,6/28/19,0.8796,0.00%
6/7/18,67.42,0.87%,7/30/18,6.815,0.02%,8/15/18,1.3813,0.07%,6/27/19,0.8796,0.00%
6/6/18,66.84,-0.39%,7/27/18,6.8137,0.31%,8/14/18,1.3803,0.33%,6/26/19,0.8796,-0.03%
6/5/18,67.1,0.04%,7/26/18,6.7927,0.34%,8/13/18,1.3757,0.43%,6/25/19,0.8799,0.31%
6/4/18,67.07,0.11%,7/25/18,6.7697,-0.32%,8/10/18,1.3698,0.98%,6/24/19,0.8772,-0.28%
6/1/18,66.995,-0.65%,7/24/18,6.7915,-0.02%,8/9/18,1.3565,0.81%,6/21/19,0.8797,-0.65%
5/31/18,67.43,-0.01%,7/23/18,6.793,0.33%,8/8/18,1.3456,-0.14%,6/20/19,0.8855,-0.59%
5/30/18,67.44,-0.59%,7/20/18,6.7709,-0.06%,8/7/18,1.3475,-0.46%,6/19/19,0.8908,-0.29%
5/29/18,67.84,0.65%,7/19/18,6.7751,0.83%,8/6/18,1.3537,0.17%,6/18/19,0.8934,0.22%
5/28/18,67.4,-0.49%,7/18/18,6.7196,0.20%,8/3/18,1.3514,-0.54%,6/17/19,0.8914,-0.08%
5/25/18,67.73,-0.89%,7/17/18,6.7065,0.23%,8/2/18,1.3587,0.60%,6/14/19,0.8921,0.60%
5/24/18,68.34,-0.04%,7/16/18,6.6911,-0.01%,8/1/18,1.3506,0.33%,6/13/19,0.8868,0.11%
5/23/18,68.37,0.51%,7/13/18,6.6917,0.36%,7/31/18,1.3461,-0.30%,6/12/19,0.8858,0.37%
5/22/18,68.02,-0.14%,7/12/18,6.6677,-0.20%,7/30/18,1.3501,-0.07%,6/11/19,0.8825,-0.15%
5/21/18,68.115,0.18%,7/11/18,6.6812,0.77%,7/27/18,1.3511,-0.32%,6/10/19,0.8838,0.17%
5/18/18,67.99,0.33%,7/10/18,6.6299,0.21%,7/26/18,1.3555,1.05%,6/7/19,0.8823,-0.52%
5/17/18,67.765,-0.01%,7/9/18,6.6161,-0.41%,7/25/18,1.3414,-0.45%,6/6/19,0.8869,-0.47%
5/16/18,67.775,-0.45%,7/6/18,6.6436,0.10%,7/24/18,1.3475,-0.53%,6/5/19,0.8911,0.26%
5/15/18,68.08,0.77%,7/5/18,6.6371,0.07%,7/23/18,1.3547,0.56%,6/4/19,0.8888,-0.09%
5/14/18,67.56,0.30%,7/4/18,6.6325,-0.15%,7/20/18,1.3471,-0.87%,6/3/19,0.8896,-0.51%
5/11/18,67.36,0.17%,7/3/18,6.6425,-0.38%,7/19/18,1.3589,0.53%,5/31/19,0.8942,-0.47%
5/10/18,67.245,-0.16%,7/2/18,6.668,0.71%,7/18/18,1.3517,-0.13%,5/30/19,0.8984,0.00%
5/9/18,67.35,0.33%,6/29/18,6.621,-0.09%,7/17/18,1.3534,0.42%,5/29/19,0.8984,0.26%
5/8/18,67.13,-0.01%,6/28/18,6.627,0.34%,7/16/18,1.3477,0.05%,5/28/19,0.8961,0.35%
5/7/18,67.14,0.48%,6/27/18,6.6047,0.39%,7/13/18,1.347,-0.21%,5/27/19,0.893,0.06%
5/4/18,66.82,0.22%,6/26/18,6.5793,0.60%,7/12/18,1.3498,-0.56%,5/24/19,0.8925,-0.21%
5/3/18,66.67,-0.03%,6/25/18,6.54,0.53%,7/11/18,1.3574,1.25%,5/23/19,0.8944,-0.25%
5/2/18,66.69,-0.16%,6/22/18,6.5058,0.19%,7/10/18,1.3406,0.10%,5/22/19,0.8966,0.07%
5/1/18,66.8,0.51%,6/21/18,6.4932,0.30%,7/9/18,1.3392,-0.45%,5/21/19,0.896,0.09%
4/30/18,66.46,-0.24%,6/20/18,6.4737,-0.18%,7/6/18,1.3453,-0.62%,5/20/19,0.8952,-0.10%
4/27/18,66.62,-0.28%,6/19/18,6.4852,0.71%,7/5/18,1.3537,-0.06%,5/17/19,0.8961,0.12%
4/26/18,66.805,-0.17%,6/18/18,6.4394,0.00%,7/4/18,1.3545,0.04%,5/16/19,0.895,0.26%
4/25/18,66.92,0.77%,6/15/18,6.4394,0.59%,7/3/18,1.3539,-0.60%,5/15/19,0.8927,0.09%
4/24/18,66.41,-0.18%,6/14/18,6.4017,0.05%,7/2/18,1.3621,0.86%,5/14/19,0.8919,0.10%
4/23/18,66.53,0.48%,6/13/18,6.3983,-0.07%,6/29/18,1.3505,-0.68%,5/13/19,0.891,0.10%
4/20/18,66.21,0.52%,6/12/18,6.4028,0.02%,6/28/18,1.3597,-0.18%,5/10/19,0.8901,-0.16%
4/19/18,65.87,0.23%,6/11/18,6.4017,-0.08%,6/27/18,1.3622,0.72%,5/9/19,0.8915,-0.22%
4/18/18,65.72,0.06%,6/8/18,6.4066,0.23%,6/26/18,1.3524,0.27%,5/8/19,0.8935,-0.01%
4/17/18,65.68,0.32%,6/7/18,6.3921,0.06%,6/25/18,1.3488,0.37%,5/7/19,0.8936,0.07%
4/16/18,65.47,0.33%,6/6/18,6.3884,-0.28%,6/22/18,1.3438,-0.80%,5/6/19,0.893,0.03%
4/13/18,65.255,-0.05%,6/5/18,6.4061,-0.06%,6/21/18,1.3547,-0.18%,5/3/19,0.8927,-0.21%
4/12/18,65.29,0.05%,6/4/18,6.41,-0.16%,6/20/18,1.3572,0.21%,5/2/19,0.8946,0.17%
4/11/18,65.26,0.48%,6/1/18,6.4204,0.16%,6/19/18,1.3543,0.53%,5/1/19,0.8931,0.16%
4/10/18,64.95,-0.01%,5/31/18,6.4103,-0.14%,6/18/18,1.3471,0.28%,4/30/19,0.8917,-0.26%
4/9/18,64.955,0.04%,5/30/18,6.419,0.02%,6/15/18,1.3434,0.49%,4/29/19,0.894,-0.33%
4/6/18,64.93,0.06%,5/29/18,6.4176,0.29%,6/14/18,1.3369,1.31%,4/26/19,0.897,-0.14%
4/5/18,64.89,-0.24%,5/28/18,6.3993,0.12%,6/13/18,1.3196,-0.06%,4/25/19,0.8983,0.20%
4/4/18,65.045,0.07%,5/25/18,6.3918,0.21%,6/12/18,1.3204,0.50%,4/24/19,0.8965,0.66%
4/3/18,65,-0.20%,5/24/18,6.3783,-0.16%,6/11/18,1.3138,-0.15%,4/23/19,0.8906,0.28%
4/2/18,65.13,0.02%,5/23/18,6.3885,0.33%,6/8/18,1.3158,0.34%,4/22/19,0.8881,-0.10%
3/30/18,65.115,0.00%,5/22/18,6.3675,-0.25%,6/7/18,1.3113,0.54%,4/19/19,0.889,-0.16%
3/29/18,65.115,-0.07%,5/21/18,6.3835,0.05%,6/6/18,1.3043,-0.65%,4/18/19,0.8904,0.59%
3/28/18,65.16,0.33%,5/18/18,6.38,0.20%,6/5/18,1.3128,0.37%,4/17/19,0.8852,-0.14%
3/27/18,64.945,0.19%,5/17/18,6.3671,-0.07%,6/4/18,1.3079,-1.02%,4/16/19,0.8864,0.25%
3/26/18,64.825,-0.25%,5/16/18,6.3715,-0.10%,6/1/18,1.3214,0.01%,4/15/19,0.8842,-0.07%
3/23/18,64.99,-0.18%,5/15/18,6.3777,0.61%,5/31/18,1.3213,0.12%,4/12/19,0.8848,-0.44%
3/22/18,65.105,-0.12%,5/14/18,6.3392,0.08%,5/30/18,1.3197,-0.95%,4/11/19,0.8887,0.18%
3/21/18,65.18,-0.05%,5/11/18,6.3341,-0.24%,5/29/18,1.3324,0.54%,4/10/19,0.8871,-0.09%
3/20/18,65.21,-0.02%,5/10/18,6.3492,-0.21%,5/28/18,1.3253,0.05%,4/9/19,0.8879,-0.02%
3/19/18,65.22,0.35%,5/9/18,6.3624,-0.13%,5/25/18,1.3247,0.36%,4/8/19,0.8881,-0.38%
3/16/18,64.99,0.00%,5/8/18,6.3707,0.06%,5/24/18,1.3199,-0.22%,4/5/19,0.8915,0.03%
3/15/18,64.99,0.23%,5/7/18,6.3667,0.06%,5/23/18,1.3228,0.22%,4/4/19,0.8912,0.12%
3/14/18,64.84,-0.02%,5/4/18,6.3627,0.14%,5/22/18,1.3199,0.08%,4/3/19,0.8901,-0.26%
3/13/18,64.855,-0.20%,5/3/18,6.3537,-0.14%,5/21/18,1.3189,-0.91%,4/2/19,0.8924,0.07%
3/12/18,64.985,-0.21%,5/2/18,6.3624,0.46%,5/18/18,1.331,-0.02%,4/1/19,0.8918,0.04%
3/9/18,65.125,0.03%,5/1/18,6.3332,0.00%,5/17/18,1.3312,0.06%,3/29/19,0.8914,0.10%
3/8/18,65.105,0.35%,4/30/18,6.3332,0.00%,5/16/18,1.3304,-0.59%,3/28/19,0.8905,0.13%
3/7/18,64.88,-0.04%,4/27/18,6.3332,-0.05%,5/15/18,1.3383,0.71%,3/27/19,0.8893,0.18%
3/6/18,64.905,-0.18%,4/26/18,6.3365,0.16%,5/14/18,1.3288,0.23%,3/26/19,0.8877,0.42%
3/5/18,65.025,-0.30%,4/25/18,6.3266,0.32%,5/11/18,1.3257,-0.14%,3/25/19,0.884,0.01%
3/2/18,65.22,-0.02%,4/24/18,6.3065,-0.17%,5/10/18,1.3275,-0.91%,3/22/19,0.8839,0.53%
3/1/18,65.23,0.03%,4/23/18,6.3171,0.33%,5/9/18,1.3397,-0.10%,3/21/19,0.8792,0.35%
2/28/18,65.21,0.45%,4/20/18,6.2965,0.28%,5/8/18,1.341,0.86%,3/20/19,0.8761,-0.54%
2/27/18,64.92,0.23%,4/19/18,6.2791,0.07%,5/7/18,1.3296,0.29%,3/19/19,0.8809,-0.14%
2/26/18,64.77,0.09%,4/18/18,6.2744,-0.13%,5/4/18,1.3258,-0.14%,3/18/19,0.8821,-0.10%
2/23/18,64.71,-0.41%,4/17/18,6.2825,0.10%,5/3/18,1.3277,-0.50%,3/15/19,0.883,-0.19%
2/22/18,64.975,0.26%,4/16/18,6.2765,0.02%,5/2/18,1.3344,-0.05%,3/14/19,0.8847,0.20%
2/21/18,64.805,-0.08%,4/13/18,6.275,-0.26%,5/1/18,1.3351,0.53%,3/13/19,0.8829,-0.34%
2/20/18,64.86,0.95%,4/12/18,6.2915,0.36%,4/30/18,1.328,0.69%,3/12/19,0.8859,-0.34%
2/19/18,64.25,0.05%,4/11/18,6.269,-0.23%,4/27/18,1.3189,-0.37%,3/11/19,0.8889,-0.08%
2/16/18,64.215,0.49%,4/10/18,6.2832,-0.38%,4/26/18,1.3238,0.14%,3/8/19,0.8896,-0.41%
2/15/18,63.9,-0.31%,4/9/18,6.307,0.03%,4/25/18,1.322,0.52%,3/7/19,0.8933,1.01%
2/14/18,64.1,-0.26%,4/6/18,6.3052,0.00%,4/24/18,1.3151,0.01%,3/6/19,0.8844,0.01%
2/13/18,64.265,-0.02%,4/5/18,6.3052,0.00%,4/23/18,1.315,0.90%,3/5/19,0.8843,0.27%
2/12/18,64.28,-0.15%,4/4/18,6.3052,0.24%,4/20/18,1.3033,0.75%,3/4/19,0.8819,0.33%
2/9/18,64.375,0.12%,4/3/18,6.2899,0.15%,4/19/18,1.2936,0.69%,3/1/19,0.879,-0.05%
2/8/18,64.3,0.03%,4/2/18,6.2805,0.08%,4/18/18,1.2847,-0.23%,2/28/19,0.8794,-0.02%
2/7/18,64.28,0.08%,3/30/18,6.2753,-0.23%,4/17/18,1.2876,0.18%,2/27/19,0.8796,0.25%
2/6/18,64.23,0.14%,3/29/18,6.2898,-0.13%,4/16/18,1.2853,-0.16%,2/26/19,0.8774,-0.33%
2/5/18,64.14,0.02%,3/28/18,6.2979,0.24%,4/13/18,1.2873,-0.18%,2/25/19,0.8803,-0.15%
2/2/18,64.13,0.23%,3/27/18,6.2831,0.15%,4/12/18,1.2896,0.01%,2/22/19,0.8816,-0.06%
2/1/18,63.98,0.68%,3/26/18,6.2734,-0.67%,4/11/18,1.2895,0.08%,2/21/19,0.8821,0.00%
1/31/18,63.55,-0.22%,3/23/18,6.316,-0.30%,4/10/18,1.2885,-0.82%,2/20/19,0.8821,0.03%
1/30/18,63.69,0.14%,3/22/18,6.335,0.19%,4/9/18,1.2991,-0.26%,2/19/19,0.8818,-0.26%
1/29/18,63.6,0.02%,3/21/18,6.3232,-0.17%,4/6/18,1.3025,0.09%,2/18/19,0.8841,-0.15%
1/26/18,63.59,0.12%,3/20/18,6.3341,0.03%,4/5/18,1.3013,0.42%,2/15/19,0.8854,0.01%
1/25/18,63.515,-0.23%,3/19/18,6.3322,-0.04%,4/4/18,1.2958,-0.43%,2/14/19,0.8853,-0.30%
1/24/18,63.66,-0.16%,3/16/18,6.335,0.20%,4/3/18,1.3014,-0.25%,2/13/19,0.888,0.57%
1/23/18,63.76,-0.20%,3/15/18,6.3221,0.06%,4/2/18,1.3047,0.19%,2/12/19,0.883,-0.44%
1/22/18,63.89,0.09%,3/14/18,6.318,-0.06%,3/30/18,1.3022,-0.02%,2/11/19,0.8869,0.49%
1/19/18,63.83,-0.06%,3/13/18,6.3216,-0.13%,3/29/18,1.3025,-0.21%,2/8/19,0.8826,0.15%
1/18/18,63.87,-0.02%,3/12/18,6.33,-0.04%,3/28/18,1.3053,0.24%,2/7/19,0.8813,0.14%
1/17/18,63.885,-0.21%,3/9/18,6.3326,-0.15%,3/27/18,1.3022,0.90%,2/6/19,0.8801,0.46%
1/16/18,64.02,0.80%,3/8/18,6.3422,0.26%,3/26/18,1.2906,-0.66%,2/5/19,0.8761,0.22%
1/15/18,63.515,-0.15%,3/7/18,6.3255,0.25%,3/23/18,1.2992,-0.05%,2/4/19,0.8742,0.14%
1/12/18,63.61,-0.13%,3/6/18,6.3098,-0.63%,3/22/18,1.2999,0.92%,2/1/19,0.873,-0.07%
1/11/18,63.69,0.09%,3/5/18,6.3495,0.06%,3/21/18,1.288,-1.04%,1/31/19,0.8736,0.28%
1/10/18,63.63,-0.06%,3/2/18,6.3454,-0.20%,3/20/18,1.3015,0.46%,1/30/19,0.8712,-0.41%
1/9/18,63.67,0.31%,3/1/18,6.3582,0.43%,3/19/18,1.2956,-0.04%,1/29/19,0.8748,-0.03%
1/8/18,63.475,0.21%,2/28/18,6.3311,0.22%,3/16/18,1.2961,1.08%,1/28/19,0.8751,-0.18%
1/5/18,63.34,-0.09%,2/27/18,6.317,0.02%,3/15/18,1.2823,1.02%,1/25/19,0.8767,-0.88%
1/4/18,63.4,-0.17%,2/26/18,6.316,-0.34%,3/14/18,1.2694,-0.24%,1/24/19,0.8845,0.66%
1/3/18,63.505,0.07%,2/23/18,6.3373,-0.20%,3/13/18,1.2724,0.17%,1/23/19,0.8787,-0.18%
1/2/18,63.46,-0.35%,2/22/18,6.3501,0.03%,3/12/18,1.2703,-0.27%,1/22/19,0.8803,0.06%
1/1/18,63.68,-0.25%,2/21/18,6.3482,0.00%,3/9/18,1.2737,-0.76%,1/21/19,0.8798,-0.02%
12/29/17,63.84,-0.37%,2/20/18,6.3482,0.00%,3/8/18,1.2834,0.43%,1/18/19,0.88,0.27%
12/28/17,64.08,-0.06%,2/19/18,6.3482,0.00%,3/7/18,1.2779,0.04%,1/17/19,0.8776,0.05%
12/27/17,64.12,0.11%,2/16/18,6.3482,0.00%,3/6/18,1.2774,-0.80%,1/16/19,0.8772,0.13%
12/26/17,64.05,0.05%,2/15/18,6.3482,0.00%,3/5/18,1.2877,-0.02%,1/15/19,0.8761,0.55%
12/25/17,64.02,0.00%,2/14/18,6.3482,0.11%,3/2/18,1.288,-0.10%,1/14/19,0.8713,-0.08%
12/22/17,64.02,0.00%,2/13/18,6.341,0.21%,3/1/18,1.2893,0.07%,1/11/19,0.872,0.28%
12/21/17,64.02,-0.15%,2/12/18,6.3275,0.49%,2/28/18,1.2884,0.36%,1/10/19,0.8696,0.37%
12/20/17,64.115,0.09%,2/9/18,6.2969,-0.48%,2/27/18,1.2838,0.85%,1/9/19,0.8664,-0.87%
12/19/17,64.06,-0.23%,2/8/18,6.327,0.92%,2/26/18,1.273,-0.14%,1/8/19,0.874,0.30%
12/18/17,64.21,0.20%,2/7/18,6.2694,-0.22%,2/23/18,1.2748,0.02%,1/7/19,0.8714,-0.71%
12/15/17,64.08,-0.40%,2/6/18,6.2832,-0.11%,2/22/18,1.2746,-0.53%,1/4/19,0.8776,-0.01%
12/14/17,64.34,-0.19%,2/5/18,6.29,-0.18%,2/21/18,1.2814,1.02%,1/3/19,0.8777,-0.43%
12/13/17,64.46,0.08%,2/2/18,6.3014,0.03%,2/20/18,1.2685,0.37%,1/2/19,0.8815,1.07%
12/12/17,64.41,0.09%,2/1/18,6.2995,0.17%,2/19/18,1.2638,0.00%,1/1/19,0.8722,0.05%
12/11/17,64.355,-0.19%,1/31/18,6.2888,-0.56%,2/16/18,1.2638,0.41%,12/31/18,0.8718,-0.24%
12/8/17,64.48,-0.14%,1/30/18,6.3239,-0.21%,2/15/18,1.2586,-0.25%,12/28/18,0.8739,-0.11%
12/7/17,64.57,0.06%,1/29/18,6.3374,0.27%,2/14/18,1.2617,-0.84%,12/27/18,0.8749,-0.68%
12/6/17,64.53,0.26%,1/26/18,6.3201,-0.06%,2/13/18,1.2724,0.04%,12/26/18,0.8809,0.09%
12/5/17,64.36,-0.03%,1/25/18,6.3238,-0.73%,2/12/18,1.2719,-0.61%,12/25/18,0.8801,0.33%
12/4/17,64.38,-0.22%,1/24/18,6.37,-0.54%,2/9/18,1.2797,-0.44%,12/24/18,0.8772,-0.24%
12/1/17,64.52,0.05%,1/23/18,6.4047,-0.01%,2/8/18,1.2853,0.53%,12/21/18,0.8793,0.64%
11/30/17,64.49,0.20%,1/22/18,6.4052,0.02%,2/7/18,1.2785,1.08%,12/20/18,0.8737,-0.60%
11/29/17,64.36,-0.08%,1/19/18,6.404,-0.25%,2/6/18,1.2648,-0.35%,12/19/18,0.879,-0.12%
11/28/17,64.41,-0.11%,1/18/18,6.4203,-0.22%,2/5/18,1.2693,0.56%,12/18/18,0.8801,-0.12%
11/27/17,64.478,-0.31%,1/17/18,6.4343,-0.15%,2/2/18,1.2622,1.47%,12/17/18,0.8812,-0.34%
11/24/17,64.68,0.17%,1/16/18,6.444,0.11%,2/1/18,1.2439,0.20%,12/14/18,0.8842,0.48%
11/23/17,64.57,-0.48%,1/15/18,6.4371,-0.37%,1/31/18,1.2414,0.35%,12/13/18,0.88,0.03%
11/22/17,64.88,0.00%,1/12/18,6.461,-0.54%,1/30/18,1.2371,0.14%,12/12/18,0.8797,-0.44%
11/21/17,64.88,-0.34%,1/11/18,6.4958,-0.19%,1/29/18,1.2354,0.21%,12/11/18,0.8836,0.34%
11/20/17,65.1,0.13%,1/10/18,6.5081,-0.33%,1/26/18,1.2328,-1.08%,12/10/18,0.8806,0.19%
11/17/17,65.015,-0.43%,1/9/18,6.5297,0.46%,1/25/18,1.2463,0.47%,12/7/18,0.8789,-0.02%
11/16/17,65.295,0.04%,1/8/18,6.4997,0.17%,1/24/18,1.2405,-0.76%,12/6/18,0.8791,-0.26%
11/15/17,65.27,-0.21%,1/5/18,6.4887,-0.07%,1/23/18,1.25,0.22%,12/5/18,0.8814,0.00%
11/14/17,65.41,-0.05%,1/4/18,6.4934,-0.15%,1/22/18,1.2472,-0.32%,12/4/18,0.8814,0.07%
11/13/17,65.44,0.38%,1/3/18,6.503,0.15%,1/19/18,1.2512,0.10%,12/3/18,0.8808,-0.33%
11/10/17,65.19,0.33%,1/2/18,6.4934,-0.20%,1/18/18,1.25,-0.38%,11/30/18,0.8837,0.67%
11/9/17,64.975,0.08%,1/1/18,6.5066,0.00%,1/17/18,1.2548,-0.11%,11/29/18,0.8778,-0.23%
11/8/17,64.92,-0.22%,12/29/17,6.5066,-0.41%,1/16/18,1.2562,0.06%,11/28/18,0.8798,-0.69%
11/7/17,65.06,0.67%,12/28/17,6.5334,-0.36%,1/15/18,1.2555,-0.66%,11/27/18,0.8859,0.35%
11/6/17,64.625,0.10%,12/27/17,6.5568,0.18%,1/12/18,1.2638,-0.27%,11/26/18,0.8828,0.12%
11/3/17,64.56,-0.02%,12/26/17,6.5453,0.09%,1/11/18,1.2672,-0.62%,11/23/18,0.8817,0.58%
11/2/17,64.575,0.02%,12/25/17,6.5397,-0.57%,1/10/18,1.2751,-0.24%,11/22/18,0.8766,-0.19%
11/1/17,64.565,-0.29%,12/22/17,6.5774,-0.11%,1/9/18,1.2782,0.23%,11/21/18,0.8783,-0.13%
10/31/17,64.75,-0.17%,12/21/17,6.5847,0.09%,1/8/18,1.2753,0.29%,11/20/18,0.8794,0.72%
10/30/17,64.86,-0.28%,12/20/17,6.5785,-0.40%,1/5/18,1.2716,0.00%,11/19/18,0.8731,-0.30%
10/27/17,65.04,0.31%,12/19/17,6.6047,-0.18%,1/4/18,1.2716,-0.38%,11/16/18,0.8757,-0.80%
10/26/17,64.84,-0.13%,12/18/17,6.6164,0.11%,1/3/18,1.2764,-0.06%,11/15/18,0.8828,-0.15%
10/25/17,64.925,-0.25%,12/15/17,6.6094,0.00%,1/2/18,1.2772,-0.31%,11/14/18,0.8841,-0.18%
10/24/17,65.09,0.10%,12/14/17,6.6095,-0.12%,1/1/18,1.2812,-0.04%,11/13/18,0.8857,-0.64%
10/23/17,65.022,-0.03%,12/13/17,6.6174,-0.06%,12/29/17,1.2817,-0.06%,11/12/18,0.8914,1.05%
10/20/17,65.04,0.07%,12/12/17,6.6215,0.04%,12/28/17,1.2825,-0.37%,11/9/18,0.8821,0.24%
10/19/17,64.995,-0.09%,12/11/17,6.6186,-0.04%,12/27/17,1.2873,-0.52%,11/8/18,0.88,0.55%
10/18/17,65.055,0.04%,12/8/17,6.6212,0.03%,12/26/17,1.294,-0.14%,11/7/18,0.8752,0.01%
10/17/17,65.03,0.51%,12/7/17,6.6193,0.07%,12/25/17,1.2958,-0.01%,11/6/18,0.8751,-0.18%
